Version|Hybrid|Variance|Gzip|Min|Sample OPS
3.1.1|1.0|47.6|1.65|4.80|1.61
3.1.2|1.0|47.6|1.24|3.44|1.61
3.1.3|1.0|47.6|1.65|4.80|1.61
3.1.4|1.0|47.6|1.65|4.80|1.61
3.1.5|1.0|47.6|1.97|6.16|1.61
3.2.0|1.0|47.6|1.92|5.56|1.61
3.3.0|1.0|47.6|1.93|5.59|1.61
3.5.0|1.0|47.6|2.13|6.41|1.61
3.7.0|1.0|47.6|2.34|7.41|1.61
3.8.0|1.0|47.6|2.36|7.52|1.61
